Name,KBOB Category,Type,Matching Scenario,Data Structure,Model,Design Stage,Language,Entries Count,filename,precision,recall,f1_score,f0.5_score
Abdeckblech-gerundet-neu-Abdeckblech-gerundet-neu-6385866,Metallbaustoffe,IfcBuildingElementProxy,Ambiguous,Element,HiLo,Technical Design,German,7,Abdeckblech-gerundet-neu-Abdeckblech-gerundet-neu-6385866.json,0.7777777777777778,1.0,0.875,0.813953488372093
Floor-DCH_DÄ-AS_250-7601562_L1,Bodenbeläge,IfcSlab,Precise,Target Layer,zwhatt32,Developed Design,German,1,Floor-DCH_DÄ-AS_250-7601562_L1.json,1.0,1.0,1.0,1.0
Floor-Galerie-Fussbodenaufbau-1353081_L3,"Mineralische Platten, Schüttungen, Steine und Ziegel",IfcSlab,Precise,Target Layer,HiLo,Technical Design,German,2,Floor-Galerie-Fussbodenaufbau-1353081_L3.json,1.0,1.0,1.0,1.0
Basic-Wall-Brandschutzplatte-28mm-1935406,"Mineralische Platten, Schüttungen, Steine und Ziegel",IfcWallStandardCase,Precise,Element,HiLo,Technical Design,German,2,Basic-Wall-Brandschutzplatte-28mm-1935406.json,1.0,1.0,1.0,1.0
Basic-Wall-Brandschutzplatte-5251017,Holz und Holzwerkstoffe,IfcWall,Precise,Element,HiLo,Technical Design,German,1,Basic-Wall-Brandschutzplatte-5251017.json,1.0,1.0,1.0,1.0
Floor-OSB-25mm-5183063,Holz und Holzwerkstoffe,IfcSlab,Precise,Element,HiLo,Technical Design,German,1,Floor-OSB-25mm-5183063.json,1.0,1.0,1.0,1.0
Basic-Wall-WAN_ASW_VKL_10-12099875,Metallbaustoffe,IfcWallStandardCase,Precise,Element,zwhatt51,Technical Design,German,1,Basic-Wall-WAN_ASW_VKL_10-12099875.json,1.0,1.0,1.0,1.0
Basic-Wall-Innenwandelement-Archisonic-ohne-MDF-3995377,Kunststoffe,IfcWallStandardCase,True Negative,Element,HiLo,Technical Design,German,0,Basic-Wall-Innenwandelement-Archisonic-ohne-MDF-3995377.json,1.0,1.0,1.0,1.0
Basic-Wall-Holzbau_Archisonic_Vorbauschale-2146702_L2,Holz und Holzwerkstoffe,IfcWallStandardCase,Precise,Target Layer,HiLo,Technical Design,German,1,Basic-Wall-Holzbau_Archisonic_Vorbauschale-2146702_L2.json,1.0,1.0,1.0,1.0
Basic-Wall-Blechverkleidung-gedämmt-1829613_L2,Wärmedämmstoffe,IfcWallStandardCase,Precise,Target Layer,HiLo,Technical Design,German,1,Basic-Wall-Blechverkleidung-gedämmt-1829613_L2.json,1.0,1.0,1.0,1.0
Basic-Wall-WAT_ASW_STB_250-5585349,Beton,IfcWall,Ambiguous,Element,zwhatt32,Developed Design,German,6,Basic-Wall-WAT_ASW_STB_250-5585349.json,1.0,0.5,0.6666666666666666,0.8333333333333334
Basic-Wall-Holzfassade-hinterlüftet-1105047_L2,Holz und Holzwerkstoffe,IfcWall,True Negative,Target Layer,HiLo,Technical Design,German,0,Basic-Wall-Holzfassade-hinterlüftet-1105047_L2.json,1.0,1.0,1.0,1.0
Attikablech-Galerie-Südwest-Attikablech-Galerie-Südwest-6351305,Metallbaustoffe,IfcWall,Ambiguous,Element,HiLo,Technical Design,German,7,Attikablech-Galerie-Südwest-Attikablech-Galerie-Südwest-6351305.json,0.8,0.5714285714285714,0.6666666666666666,0.7407407407407407
Floor-AHD_DÄ_90-13984336,Wärmedämmstoffe,IfcSlab,Ambiguous,Element,zwhatt41,Technical Design,German,13,Floor-AHD_DÄ_90-13984336.json,1.0,0.5384615384615384,0.7,0.8536585365853658
Floor-BBA_BL_15-Mieterausbau-11598222,Bodenbeläge,IfcCovering,True Negative,Element,zwhatt41,Technical Design,German,0,Floor-BBA_BL_15-Mieterausbau-11598222.json,0.0,0.0,0.0,0.0
Floor-BBA_HBE_50-BG1-7590425,Beton,IfcCovering,Precise,Element,zwhatt32,Developed Design,German,2,Floor-BBA_HBE_50-BG1-7590425.json,0.0,0.0,0.0,0.0
TO---Brandschutztor-TOI_SIT_MET_ST---2180-x-2200-8609379,Türen,IfcDoor,Precise,Element,zwhatt32,Developed Design,German,1,TO---Brandschutztor-TOI_SIT_MET_ST---2180-x-2200-8609379.json,0.5,1.0,0.6666666666666666,0.5555555555555556
TO---Brandschutztor-TOI_SIT_MET_ST---2300-x-2200-10306412,Türen,IfcDoor,Precise,Element,zwhatt51,Technical Design,German,1,TO---Brandschutztor-TOI_SIT_MET_ST---2300-x-2200-10306412.json,0.5,1.0,0.6666666666666666,0.5555555555555556
Assembled-Stair-Stair-1458173-Run-1,Metallbaustoffe,IfcStairFlight,Precise,Element,HiLo,Technical Design,German,2,Assembled-Stair-Stair-1458173-Run-1.json,0.5,0.5,0.5,0.5
Floor-Bodenaufbau-12-beton---5-aufbau-2462797_L2,Beton,IfcSlab,Ambiguous,Target Layer,zwhatt31,Concept Design,German,10,Floor-Bodenaufbau-12-beton---5-aufbau-2462797_L2.json,1.0,1.0,1.0,1.0
Basic-Wall-STB-1560-3067474,Beton,IfcWallStandardCase,Ambiguous,Element,zwhatt31,Concept Design,German,12,Basic-Wall-STB-1560-3067474.json,1.0,0.8333333333333334,0.9090909090909092,0.9615384615384616
Floor-Residential---Wood-Joist-with-Subflooring-144800_L2,Holz und Holzwerkstoffe,IfcSlab,Ambiguous,Target Layer,Duplex,Developed Design,English,6,Floor-Residential---Wood-Joist-with-Subflooring-144800_L2.json,0.6,0.5,0.5454545454545454,0.5769230769230769
Systemelement-Contraflam-EI30-1753138,"Fenster, Sonnenschutz, Fassadenplatten",IfcPlate,Ambiguous,Element,HiLo,Technical Design,German,5,Systemelement-Contraflam-EI30-1753138.json,0.3636363636363636,1.0,0.5333333333333333,0.4166666666666667
Basic-Wall-WAN_DCK_DÄ_100-8137387,Wärmedämmstoffe,IfcWallStandardCase,Ambiguous,Element,zwhatt32,Developed Design,German,12,Basic-Wall-WAN_DCK_DÄ_100-8137387.json,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.8333333333333334
Floor-Perimeterdämmung-4784219,Wärmedämmstoffe,IfcSlab,Precise,Element,HiLo,Technical Design,German,2,Floor-Perimeterdämmung-4784219.json,1.0,1.0,1.0,1.0
Floor-AHD_DÄ_160-12312285,Wärmedämmstoffe,IfcSlab,Ambiguous,Element,zwhatt51,Technical Design,German,14,Floor-AHD_DÄ_160-12312285.json,1.0,0.5,0.6666666666666666,0.8333333333333334
Basic-Wall-Fensterlaibung-40mm-6514187,Holz und Holzwerkstoffe,IfcWallStandardCase,Ambiguous,Element,HiLo,Technical Design,German,4,Basic-Wall-Fensterlaibung-40mm-6514187.json,0.6666666666666666,1.0,0.8,0.7142857142857143
Basic-Wall-WAN_BRÜ_STB_160-dachrand-8113151,Beton,IfcWallStandardCase,Ambiguous,Element,zwhatt32,Developed Design,German,7,Basic-Wall-WAN_BRÜ_STB_160-dachrand-8113151.json,0.7,1.0,0.8235294117647058,0.7446808510638298
Geländer-Kern-6-OG2-GEL_TREP_6OG-14099961,Metallbaustoffe,IfcRailing,Precise,Element,zwhatt51,Technical Design,German,1,Geländer-Kern-6-OG2-GEL_TREP_6OG-14099961.json,0.5,1.0,0.6666666666666666,0.5555555555555556
Floor-Funicular-Floor-687636_L2,Beton,IfcSlab,Ambiguous,Target Layer,HiLo,Technical Design,German,5,Floor-Funicular-Floor-687636_L2.json,0.3,0.6,0.4,0.3333333333333333
Floor-OSB-22mm-4937655,Holz und Holzwerkstoffe,IfcSlab,Precise,Element,HiLo,Technical Design,German,1,Floor-OSB-22mm-4937655.json,1.0,1.0,1.0,1.0
Basic-Wall-FAS_ASW_DÄ-ABD_120-13861927_L3,"Dichtungsbahnen, Schutzfolien",IfcWall,Ambiguous,Target Layer,zwhatt41,Technical Design,German,4,Basic-Wall-FAS_ASW_DÄ-ABD_120-13861927_L3.json,1.0,1.0,1.0,1.0
Basic-Wall-Holzfassade_Hinterlüftet_Laibung-2906806,Holz und Holzwerkstoffe,IfcWallStandardCase,Precise,Element,HiLo,Technical Design,German,2,Basic-Wall-Holzfassade_Hinterlüftet_Laibung-2906806.json,0.5,1.0,0.6666666666666666,0.5555555555555556
Kemper-Wandtresor-TRES_350x350-15539713,Metallbaustoffe,IfcBuildingElementProxy,Precise,Element,zwhatt51,Technical Design,German,2,Kemper-Wandtresor-TRES_350x350-15539713.json,1.0,1.0,1.0,1.0
Rechteckiger-Pfosten-VF_PFT-T_M_60-x-125-11226193,Metallbaustoffe,IfcMember,Precise,Element,zwhatt41,Technical Design,German,2,Rechteckiger-Pfosten-VF_PFT-T_M_60-x-125-11226193.json,1.0,1.0,1.0,1.0
Basic-Wall-FAS_ASW_DÄ-PU_325-11226723_L1,Mörtel und Putze,IfcWallStandardCase,Ambiguous,Target Layer,zwhatt51,Technical Design,German,5,Basic-Wall-FAS_ASW_DÄ-PU_325-11226723_L1.json,1.0,0.8,0.8888888888888888,0.9523809523809524
Floor-DCH_DÄ-AS_250-7601562_L3,Wärmedämmstoffe,IfcSlab,Ambiguous,Target Layer,zwhatt32,Developed Design,German,8,Floor-DCH_DÄ-AS_250-7601562_L3.json,0.4,0.5,0.4444444444444444,0.4166666666666667
Plate--face-based--Plate--face-based--1696783,Metallbaustoffe,IfcBuildingElementProxy,Precise,Element,LTU,Technical Design,English,2,Plate--face-based--Plate--face-based--1696783.json,0.0,0.0,0.0,0.0
Floor-DCH_BLECH_53-13862065_L3,Holz und Holzwerkstoffe,IfcSlab,Ambiguous,Target Layer,zwhatt51,Technical Design,German,3,Floor-DCH_BLECH_53-13862065_L3.json,0.1111111111111111,0.3333333333333333,0.1666666666666666,0.1282051282051282
Precast-Stair-Stair-10092362-Landing-1,Beton,IfcSlab,Precise,Element,zwhatt32,Developed Design,German,2,Precast-Stair-Stair-10092362-Landing-1.json,1.0,1.0,1.0,1.0
Floor-BBA_GIT_MET_30-11023640-10,Metallbaustoffe,IfcSlab,Precise,Element,zwhatt51,Technical Design,German,1,Floor-BBA_GIT_MET_30-11023640-10.json,0.0,0.0,0.0,0.0
Basic-Wall-Exterior---Brick-on-Block-138062_L1,Mauersteine,IfcWallStandardCase,Precise,Target Layer,Duplex,Developed Design,English,1,Basic-Wall-Exterior---Brick-on-Block-138062_L1.json,1.0,1.0,1.0,1.0
Floor-Bodenaufbau-Hauptgeschoss-687594,Bodenbeläge,IfcSlab,True Negative,Element,HiLo,Technical Design,German,0,Floor-Bodenaufbau-Hauptgeschoss-687594.json,0.0,0.0,0.0,0.0
